=== pile(k=4, random_pickup=True) ===
-- trials=200 --
-- trials=200 --
trials= 200 | step=  1 | KS=0.066 | inv_mean=650.6 | runs_mean=26.00
trials= 200 | step=  2 | KS=0.045 | inv_mean=666.5 | runs_mean=26.41
trials= 200 | step=  3 | KS=0.071 | inv_mean=674.2 | runs_mean=26.59
trials= 200 | step=  5 | KS=0.057 | inv_mean=663.4 | runs_mean=26.45
trials= 200 | step= 10 | KS=0.059 | inv_mean=666.9 | runs_mean=26.58
trials= 200 | step= 20 | KS=0.070 | inv_mean=662.2 | runs_mean=26.57
trials= 200 | step= 30 | KS=0.052 | inv_mean=663.4 | runs_mean=26.50
trials= 200 | step= 50 | KS=0.106 | inv_mean=667.7 | runs_mean=26.36
trials= 200 | step= 80 | KS=0.033 | inv_mean=662.7 | runs_mean=26.62
trials= 200 | step=120 | KS=0.070 | inv_mean=652.9 | runs_mean=26.61
trials= 200 | step=160 | KS=0.086 | inv_mean=662.0 | runs_mean=26.72
trials= 200 | step=196 | KS=0.035 | inv_mean=667.2 | runs_mean=26.44
-- trials=800 --
trials= 800 | step=  1 | KS=0.048 | inv_mean=650.0 | runs_mean=26.00
trials= 800 | step=  2 | KS=0.035 | inv_mean=663.2 | runs_mean=26.55
trials= 800 | step=  3 | KS=0.036 | inv_mean=667.8 | runs_mean=26.60
trials= 800 | step=  5 | KS=0.023 | inv_mean=666.4 | runs_mean=26.45
trials= 800 | step= 10 | KS=0.014 | inv_mean=660.4 | runs_mean=26.63
trials= 800 | step= 20 | KS=0.021 | inv_mean=662.1 | runs_mean=26.63
trials= 800 | step= 30 | KS=0.037 | inv_mean=665.4 | runs_mean=26.47
trials= 800 | step= 50 | KS=0.034 | inv_mean=665.1 | runs_mean=26.37
trials= 800 | step= 80 | KS=0.027 | inv_mean=664.5 | runs_mean=26.55
trials= 800 | step=120 | KS=0.029 | inv_mean=654.3 | runs_mean=26.50
trials= 800 | step=160 | KS=0.029 | inv_mean=666.9 | runs_mean=26.63
trials= 800 | step=196 | KS=0.016 | inv_mean=661.9 | runs_mean=26.46
-- trials=2000 --
trials=2000 | step=  1 | KS=0.025 | inv_mean=649.0 | runs_mean=26.00
trials=2000 | step=  2 | KS=0.022 | inv_mean=664.1 | runs_mean=26.52
trials=2000 | step=  3 | KS=0.011 | inv_mean=666.7 | runs_mean=26.53
trials=2000 | step=  5 | KS=0.017 | inv_mean=665.5 | runs_mean=26.45
trials=2000 | step= 10 | KS=0.011 | inv_mean=662.8 | runs_mean=26.53
trials=2000 | step= 20 | KS=0.015 | inv_mean=663.1 | runs_mean=26.56
trials=2000 | step= 30 | KS=0.025 | inv_mean=665.5 | runs_mean=26.51
trials=2000 | step= 50 | KS=0.022 | inv_mean=663.9 | runs_mean=26.40
trials=2000 | step= 80 | KS=0.022 | inv_mean=662.6 | runs_mean=26.49
trials=2000 | step=120 | KS=0.022 | inv_mean=659.2 | runs_mean=26.48
trials=2000 | step=160 | KS=0.008 | inv_mean=663.9 | runs_mean=26.50
trials=2000 | step=196 | KS=0.017 | inv_mean=664.0 | runs_mean=26.47

=== pile(k=52, random_pickup=True) ===
-- trials=200 --
trials= 200 | step=  1 | KS=0.076 | inv_mean=667.5 | runs_mean=26.62
trials= 200 | step=  2 | KS=0.038 | inv_mean=657.3 | runs_mean=26.48
trials= 200 | step=  3 | KS=0.049 | inv_mean=654.8 | runs_mean=26.50
trials= 200 | step=  5 | KS=0.043 | inv_mean=659.6 | runs_mean=26.69
trials= 200 | step= 10 | KS=0.061 | inv_mean=663.1 | runs_mean=26.32
trials= 200 | step= 20 | KS=0.036 | inv_mean=660.2 | runs_mean=26.38
trials= 200 | step= 30 | KS=0.050 | inv_mean=663.5 | runs_mean=26.45
trials= 200 | step= 50 | KS=0.037 | inv_mean=659.4 | runs_mean=26.50
trials= 200 | step= 80 | KS=0.048 | inv_mean=660.7 | runs_mean=26.27
trials= 200 | step=120 | KS=0.048 | inv_mean=663.2 | runs_mean=26.36
trials= 200 | step=160 | KS=0.098 | inv_mean=661.3 | runs_mean=26.41
trials= 200 | step=196 | KS=0.061 | inv_mean=667.3 | runs_mean=26.55
-- trials=800 --
trials= 800 | step=  1 | KS=0.018 | inv_mean=663.3 | runs_mean=26.52
trials= 800 | step=  2 | KS=0.019 | inv_mean=659.7 | runs_mean=26.41
trials= 800 | step=  3 | KS=0.028 | inv_mean=658.9 | runs_mean=26.41
trials= 800 | step=  5 | KS=0.032 | inv_mean=664.9 | runs_mean=26.50
trials= 800 | step= 10 | KS=0.021 | inv_mean=660.3 | runs_mean=26.49
trials= 800 | step= 20 | KS=0.026 | inv_mean=660.1 | runs_mean=26.43
trials= 800 | step= 30 | KS=0.046 | inv_mean=664.0 | runs_mean=26.51
trials= 800 | step= 50 | KS=0.020 | inv_mean=657.6 | runs_mean=26.53
trials= 800 | step= 80 | KS=0.020 | inv_mean=665.4 | runs_mean=26.57
trials= 800 | step=120 | KS=0.023 | inv_mean=662.6 | runs_mean=26.36
trials= 800 | step=160 | KS=0.032 | inv_mean=663.6 | runs_mean=26.45
trials= 800 | step=196 | KS=0.028 | inv_mean=664.3 | runs_mean=26.61
-- trials=2000 --
trials=2000 | step=  1 | KS=0.014 | inv_mean=662.2 | runs_mean=26.51
trials=2000 | step=  2 | KS=0.011 | inv_mean=661.2 | runs_mean=26.48
trials=2000 | step=  3 | KS=0.013 | inv_mean=663.5 | runs_mean=26.43
trials=2000 | step=  5 | KS=0.020 | inv_mean=665.1 | runs_mean=26.54
trials=2000 | step= 10 | KS=0.017 | inv_mean=663.0 | runs_mean=26.53
trials=2000 | step= 20 | KS=0.024 | inv_mean=660.4 | runs_mean=26.48
trials=2000 | step= 30 | KS=0.031 | inv_mean=663.2 | runs_mean=26.56
trials=2000 | step= 50 | KS=0.028 | inv_mean=660.0 | runs_mean=26.55
trials=2000 | step= 80 | KS=0.015 | inv_mean=662.9 | runs_mean=26.50
trials=2000 | step=120 | KS=0.024 | inv_mean=662.9 | runs_mean=26.47
trials=2000 | step=160 | KS=0.017 | inv_mean=662.6 | runs_mean=26.48
trials=2000 | step=196 | KS=0.015 | inv_mean=664.2 | runs_mean=26.54

=== riffle(cut_p=0.50) ===
steps= 1 | KS=0.878 | Hpos=1.956 (34.3%) | inv_mean=328.1
steps= 2 | KS=0.762 | Hpos=3.177 (55.7%) | inv_mean=494.4
steps= 3 | KS=0.589 | Hpos=4.246 (74.5%) | inv_mean=579.5
steps= 4 | KS=0.369 | Hpos=5.120 (89.8%) | inv_mean=619.1
steps= 5 | KS=0.219 | Hpos=5.497 (96.4%) | inv_mean=638.3
steps= 6 | KS=0.123 | Hpos=5.616 (98.5%) | inv_mean=648.1
steps= 7 | KS=0.082 | Hpos=5.640 (98.9%) | inv_mean=657.6
steps= 8 | KS=0.061 | Hpos=5.651 (99.1%) | inv_mean=662.6
steps= 9 | KS=0.021 | Hpos=5.664 (99.4%) | inv_mean=661.8
steps=10 | KS=0.018 | Hpos=5.643 (99.0%) | inv_mean=661.1
steps=11 | KS=0.029 | Hpos=5.667 (99.4%) | inv_mean=663.6
steps=12 | KS=0.045 | Hpos=5.662 (99.3%) | inv_mean=667.0

=== riffle(cut_p=0.60) ===
steps= 1 | KS=0.902 | Hpos=1.580 (27.7%) | inv_mean=316.4
steps= 2 | KS=0.828 | Hpos=2.564 (45.0%) | inv_mean=483.2
steps= 3 | KS=0.740 | Hpos=3.386 (59.4%) | inv_mean=569.3
steps= 4 | KS=0.608 | Hpos=4.180 (73.3%) | inv_mean=616.2
steps= 5 | KS=0.439 | Hpos=4.887 (85.7%) | inv_mean=639.0
steps= 6 | KS=0.272 | Hpos=5.365 (94.1%) | inv_mean=649.3
steps= 7 | KS=0.184 | Hpos=5.548 (97.3%) | inv_mean=656.3
steps= 8 | KS=0.110 | Hpos=5.625 (98.7%) | inv_mean=660.7
steps= 9 | KS=0.046 | Hpos=5.662 (99.3%) | inv_mean=663.8
steps=10 | KS=0.022 | Hpos=5.674 (99.5%) | inv_mean=662.2
steps=11 | KS=0.027 | Hpos=5.662 (99.3%) | inv_mean=663.0
steps=12 | KS=0.018 | Hpos=5.665 (99.4%) | inv_mean=664.0

=== riffle(cut_p=0.70) ===
steps= 1 | KS=0.919 | Hpos=1.234 (21.6%) | inv_mean=276.4
steps= 2 | KS=0.865 | Hpos=2.041 (35.8%) | inv_mean=443.4
steps= 3 | KS=0.816 | Hpos=2.686 (47.1%) | inv_mean=533.6
steps= 4 | KS=0.746 | Hpos=3.285 (57.6%) | inv_mean=588.0
steps= 5 | KS=0.664 | Hpos=3.849 (67.5%) | inv_mean=618.1
steps= 6 | KS=0.564 | Hpos=4.396 (77.1%) | inv_mean=635.3
steps= 7 | KS=0.446 | Hpos=4.884 (85.7%) | inv_mean=645.4
steps= 8 | KS=0.339 | Hpos=5.214 (91.5%) | inv_mean=651.5
steps= 9 | KS=0.228 | Hpos=5.472 (96.0%) | inv_mean=656.0
steps=10 | KS=0.149 | Hpos=5.577 (97.8%) | inv_mean=660.1
steps=11 | KS=0.103 | Hpos=5.633 (98.8%) | inv_mean=667.2
steps=12 | KS=0.063 | Hpos=5.661 (99.3%) | inv_mean=665.4

=== riffle(cut_p=0.80) ===
steps= 1 | KS=0.935 | Hpos=0.871 (15.3%) | inv_mean=212.0
steps= 2 | KS=0.904 | Hpos=1.451 (25.4%) | inv_mean=360.4
steps= 3 | KS=0.880 | Hpos=1.885 (33.1%) | inv_mean=454.6
steps= 4 | KS=0.844 | Hpos=2.370 (41.6%) | inv_mean=520.3
steps= 5 | KS=0.808 | Hpos=2.780 (48.8%) | inv_mean=567.2
steps= 6 | KS=0.762 | Hpos=3.152 (55.3%) | inv_mean=597.6
steps= 7 | KS=0.720 | Hpos=3.518 (61.7%) | inv_mean=616.5
steps= 8 | KS=0.665 | Hpos=3.876 (68.0%) | inv_mean=631.0
steps= 9 | KS=0.600 | Hpos=4.234 (74.3%) | inv_mean=641.4
